City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,76.87,clear sky,-23.1203,-134.9692,People ThankYou
8,San Patricio,US,80.85,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Eyl,SO,82.4,light rain,7.9803,49.8164,Amiin Hotel
14,Coahuayana,MX,75.06,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
17,Bud,US,78.82,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
18,Alappuzha,IN,82.8,overcast clouds,9.49,76.3264,Panoramic Sea Resort
22,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
26,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Faanui,PF,82.67,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
33,Sulangan,PH,82.8,scattered clouds,11.1373,123.7228,Maia's Beach Resort
36,Hithadhoo,MV,84.06,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Sharjah,AE,75.18,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
38,Kiunga,PG,89.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
43,Basco,PH,83.86,broken clouds,20.4487,121.9702,Nathaniel's Lodge
48,Aquiraz,BR,77.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
51,Taoudenni,ML,87.31,clear sky,22.6783,-3.9836,
55,Puerto Escondido,MX,82.9,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
59,Cabinda,AO,77.58,overcast clouds,-5.55,12.2,Hotel Maiombe
64,Ugoofaaru,MV,83.77,overcast clouds,5.6667,73.0,Ungoofaaru Inn
66,Vaitape,PF,82.69,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
70,Cabanas,CU,77.09,scattered clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
73,Sugod,PH,83.23,overcast clouds,12.987,124.0805,Jefstar Resort and Events venue
79,Atuona,PF,79.03,few clouds,-9.8,-139.0333,Villa Enata
95,Waingapu,ID,83.64,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
97,Hilo,US,81.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Kudahuvadhoo,MV,84.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
110,Luba,GQ,75.09,overcast clouds,3.4568,8.5547,
120,Ramon,PH,87.75,clear sky,16.7842,121.535,May traveller's Inn
121,Tautira,PF,81.16,broken clouds,-17.7333,-149.15,Pension Oaoa
123,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
125,Kashi,CN,79.81,few clouds,39.4547,75.9797,帕米尔青年旅舍
126,Samana,DO,76.12,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
127,Butaritari,KI,81.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
130,Abu Zabad,SD,82.04,broken clouds,12.35,29.25,حامد محمد نور
132,Quatre Cocos,MU,75.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
133,Paracuru,BR,77.11,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
139,Buchanan,LR,78.89,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
140,Harper,LR,79.65,overcast clouds,4.375,-7.7169,Screensaver
142,Phan Thiet,VN,87.48,broken clouds,10.9333,108.1,Hotel Saigon-PT
