City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,72.55,96,19,4.0,few clouds
1,Mataura,NZ,-46.1927,168.8643,57.47,59,15,3.53,few clouds
2,Pevek,RU,69.7008,170.3133,30.13,77,28,9.51,scattered clouds
3,Bredasdorp,ZA,-34.5322,20.0403,60.15,70,99,13.29,overcast clouds
4,Severo-Kurilsk,RU,50.6789,156.125,36.21,98,100,9.86,light rain
5,San Quintin,MX,30.4833,-115.95,61.2,66,94,23.47,overcast clouds
6,Muros,ES,42.7762,-9.0603,51.1,89,20,3.31,few clouds
7,Rikitea,PF,-23.1203,-134.9692,76.87,70,10,14.94,clear sky
8,San Patricio,US,28.017,-97.5169,80.85,80,50,15.84,scattered clouds
9,Iqaluit,CA,63.7506,-68.5145,29.93,100,100,16.11,light snow
10,Eyl,SO,7.9803,49.8164,82.4,79,100,7.61,light rain
11,Longyearbyen,SJ,78.2186,15.6401,17.44,73,20,8.05,few clouds
12,Punta Arenas,CL,-53.15,-70.9167,44.71,65,75,16.11,broken clouds
13,Geraldton,AU,-28.7667,114.6,68.41,73,100,5.75,overcast clouds
14,Coahuayana,MX,18.7333,-103.6833,75.06,83,75,2.48,broken clouds
15,Muravlenko,RU,63.7898,74.523,45.9,75,100,9.01,overcast clouds
16,Manzhouli,CN,49.6,117.4333,41.49,41,100,13.91,overcast clouds
17,Bud,US,39.447,-86.1758,78.82,81,36,6.44,scattered clouds
18,Alappuzha,IN,9.49,76.3264,82.8,78,100,17.09,overcast clouds
19,Port Elizabeth,ZA,-33.918,25.5701,63.32,78,0,21.85,clear sky
20,Upernavik,GL,72.7868,-56.1549,14.2,90,29,5.84,scattered clouds
21,Cidreira,BR,-30.1811,-50.2056,63.5,95,100,1.54,overcast clouds
22,Vaini,TO,-21.2,-175.2,80.76,65,20,5.75,few clouds
23,Carnarvon,AU,-24.8667,113.6333,77.07,53,98,9.22,overcast clouds
24,Busselton,AU,-33.65,115.3333,65.93,65,100,5.79,overcast clouds
25,Katsuura,JP,35.1333,140.3,66.22,70,98,5.37,overcast clouds
26,Kapaa,US,22.0752,-159.319,82.38,74,75,14.97,broken clouds
27,Hobart,AU,-42.8794,147.3294,59.25,73,0,8.05,clear sky
28,Almaznyy,RU,48.0448,40.045,36.57,78,55,8.52,broken clouds
29,Nyurba,RU,63.2842,118.3319,43.41,67,90,5.32,overcast clouds
30,Fortuna,US,40.5982,-124.1573,54.66,69,100,14.97,overcast clouds
31,Faanui,PF,-16.4833,-151.75,82.67,74,11,17.07,light rain
32,Saint George,US,37.1041,-113.5841,70.63,10,0,6.91,clear sky
33,Sulangan,PH,11.1373,123.7228,82.8,73,38,2.35,scattered clouds
34,Dikson,RU,73.5069,80.5464,30.18,95,100,24.72,light snow
35,New Norfolk,AU,-42.7826,147.0587,57.92,49,100,2.17,overcast clouds
36,Hithadhoo,MV,-0.6,73.0833,84.06,74,90,14.92,overcast clouds
37,Sharjah,AE,25.3573,55.4033,75.18,78,0,10.36,clear sky
38,Kiunga,PG,-6.1219,141.2906,89.33,59,97,4.41,overcast clouds
39,Chintamani,IN,13.4,78.0667,73.74,69,100,17.58,moderate rain
40,Lata,PT,40.1629,-8.3327,52.77,69,6,1.45,clear sky
41,Marzuq,YE,14.4,46.4667,72.18,32,4,4.25,clear sky
42,Bluff,NZ,-46.6,168.3333,57.79,71,56,14.16,broken clouds
43,Basco,PH,20.4487,121.9702,83.86,73,72,17.94,broken clouds
44,Krasnyy Chikoy,RU,50.3643,108.7512,38.95,37,100,14.25,overcast clouds
45,Jamestown,US,42.097,-79.2353,59.05,45,84,1.99,broken clouds
46,Albany,US,42.6001,-73.9662,63.25,41,0,5.5,clear sky
47,Codrington,AU,-38.2667,141.9667,65.35,57,99,2.21,overcast clouds
48,Aquiraz,BR,-3.9014,-38.3911,77.18,69,100,1.1,overcast clouds
49,Khatanga,RU,71.9667,102.5,22.03,87,11,12.93,few clouds
50,Hasaki,JP,35.7333,140.8333,72.28,72,100,5.46,overcast clouds
51,Taoudenni,ML,22.6783,-3.9836,87.31,9,2,5.08,clear sky
52,Nome,US,64.5011,-165.4064,32.16,93,100,10.36,overcast clouds
53,Bafq,IR,31.6128,55.4107,69.04,14,0,3.47,clear sky
54,Airai,TL,-8.9266,125.4092,73.96,51,71,1.52,broken clouds
55,Puerto Escondido,MX,15.85,-97.0667,82.9,77,59,3.69,broken clouds
56,Barrow,US,71.2906,-156.7887,24.82,74,100,11.5,overcast clouds
57,Coihaique,CL,-45.5752,-72.0662,37.35,93,28,2.3,scattered clouds
58,Haines Junction,CA,60.7522,-137.5108,37.35,65,100,11.5,overcast clouds
59,Cabinda,AO,-5.55,12.2,77.58,89,100,3.67,overcast clouds
60,Toora-Khem,RU,52.4675,96.11,41.52,42,10,2.46,clear sky
61,Ushuaia,AR,-54.8,-68.3,42.46,70,0,0.0,clear sky
62,Ribeira Grande,PT,38.5167,-28.7,60.31,81,100,21.0,overcast clouds
63,Qaanaaq,GL,77.484,-69.3632,12.07,72,0,6.69,clear sky
64,Ugoofaaru,MV,5.6667,73.0,83.77,77,100,17.52,overcast clouds
65,Yellowknife,CA,62.456,-114.3525,36.12,69,100,8.05,light snow
66,Vaitape,PF,-16.5167,-151.75,82.69,74,11,16.98,light rain
67,Bethel,US,41.3712,-73.414,59.85,37,2,8.05,clear sky
68,Mehamn,NO,71.0357,27.8492,37.31,98,100,20.02,overcast clouds
69,Grindavik,IS,63.8424,-22.4338,37.87,75,75,14.97,broken clouds
70,Cabanas,CU,22.9758,-82.9219,77.09,75,25,11.59,scattered clouds
71,Castro,BR,-24.7911,-50.0119,59.02,93,100,2.08,light rain
72,Hermanus,ZA,-34.4187,19.2345,59.81,81,98,14.88,overcast clouds
73,Sugod,PH,12.987,124.0805,83.23,75,100,6.6,overcast clouds
74,Bisho,ZA,-32.8472,27.4422,58.41,46,4,6.24,clear sky
75,Vardo,NO,70.3705,31.1107,37.38,100,100,12.66,mist
76,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,5,4.25,clear sky
