City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-05-04 02:30:49,77.484,-69.3632,17.94,76,100,4.99
1,Quatre Cocos,MU,2022-05-04 02:30:49,-20.2078,57.7625,77.11,79,14,11.99
2,Krasnoye,UA,2022-05-04 02:30:50,49.9145,24.6134,44.76,84,99,4.61
3,Carnarvon,AU,2022-05-04 02:30:50,-24.8667,113.6333,80.67,34,5,16.11
4,Butaritari,KI,2022-05-04 02:30:51,3.0707,172.7902,81.91,75,24,11.86
5,Hermanus,ZA,2022-05-04 02:30:51,-34.4187,19.2345,60.8,94,5,7.45
6,Saint George,US,2022-05-04 02:26:59,37.1041,-113.5841,72.63,16,0,19.57
7,Necochea,AR,2022-05-04 02:30:05,-38.5473,-58.7368,50.52,71,2,14.88
8,Ketchikan,US,2022-05-04 02:30:54,55.3422,-131.6461,45.07,81,100,5.75
9,Avarua,CK,2022-05-04 02:30:54,-21.2078,-159.775,82.45,78,100,6.91
10,Atuona,PF,2022-05-04 02:30:55,-9.8,-139.0333,79.43,77,100,18.52
11,Bengkulu,ID,2022-05-04 02:30:55,-3.8004,102.2655,82.89,70,94,4.29
12,Puerto Escondido,MX,2022-05-04 02:30:56,15.85,-97.0667,82.65,70,71,7.99
13,Geraldton,AU,2022-05-04 02:30:56,-28.7667,114.6,70.21,46,7,24.16
14,Vila Franca Do Campo,PT,2022-05-04 02:30:57,37.7167,-25.4333,64.2,78,100,2.77
15,Kirakira,SB,2022-05-04 02:30:57,-10.4544,161.9205,84.36,70,29,4.81
16,Northam,GB,2022-05-04 02:30:58,51.0333,-4.2167,50.61,95,66,5.37
17,Kapaa,US,2022-05-04 02:30:58,22.0752,-159.319,82.38,81,100,17.27
18,Mataura,NZ,2022-05-04 02:30:58,-46.1927,168.8643,63.48,58,16,1.95
19,Chapais,CA,2022-05-04 02:30:59,49.7834,-74.8492,42.58,97,100,6.78
20,Nanortalik,GL,2022-05-04 02:30:59,60.1432,-45.2371,31.62,90,66,7.23
21,Tura,IN,2022-05-04 02:31:00,25.5198,90.2201,81.5,56,4,0.4
22,Lebu,CL,2022-05-04 02:31:00,-37.6167,-73.65,52.97,91,98,15.82
23,Sinnamary,GF,2022-05-04 02:31:01,5.3833,-52.95,75.78,93,100,4.29
24,Constitucion,CL,2022-05-04 02:30:56,-35.3333,-72.4167,55.31,79,43,6.29
25,Tingi,TZ,2022-05-04 02:31:01,-11.3,35.0333,56.59,91,72,2.93
26,Oktyabrskiy,RU,2022-05-04 02:31:02,54.4815,53.471,47.14,60,6,7.9
27,Clyde River,CA,2022-05-04 02:31:03,70.4692,-68.5914,7.03,78,100,10.36
28,Asyut,EG,2022-05-04 02:31:04,27.181,31.1837,70.56,59,62,13.13
29,Acarau,BR,2022-05-04 02:31:04,-2.8856,-40.12,78.53,90,100,10.76
30,Chelmsford,GB,2022-05-04 02:30:26,51.7357,0.4696,51.46,86,99,6.58
31,Panormos,GR,2022-05-04 02:31:05,35.4182,24.6909,58.86,78,5,2.91
32,Port Alfred,ZA,2022-05-04 02:31:05,-33.5906,26.891,61.18,96,18,8.28
33,Hilo,US,2022-05-04 02:28:38,19.7297,-155.09,75.27,96,100,4.61
34,Longyearbyen,SJ,2022-05-04 02:31:06,78.2186,15.6401,12.04,67,20,6.91
35,Inhambane,MZ,2022-05-04 02:31:07,-23.865,35.3833,68.32,82,36,5.7
36,Saskylakh,RU,2022-05-04 02:31:07,71.9167,114.0833,27.59,87,99,9.15
37,Lipin Bor,RU,2022-05-04 02:31:09,60.2622,37.9763,31.21,71,96,11.36
38,New Norfolk,AU,2022-05-04 02:31:10,-42.7826,147.0587,56.91,81,100,1.99
39,Hobart,AU,2022-05-04 02:31:10,-42.8794,147.3294,57.25,85,100,5.75
40,Kaitangata,NZ,2022-05-04 02:31:11,-46.2817,169.8464,61.18,64,9,4.38
41,Rikitea,PF,2022-05-04 02:31:11,-23.1203,-134.9692,77.7,79,99,17.38
42,Patacamaya,BO,2022-05-04 02:31:12,-17.2333,-67.9167,43.43,87,40,4.45
43,Caohai,CN,2022-05-04 02:31:13,26.8661,104.2841,56.95,56,99,5.82
44,Airai,TL,2022-05-04 02:30:02,-8.9266,125.4092,75.81,54,28,3.91
45,Hithadhoo,MV,2022-05-04 02:31:13,-0.6,73.0833,81.05,82,100,20.8
46,Noicattaro,IT,2022-05-04 02:31:14,41.0338,16.9896,55.53,90,9,1.41
47,Pali,IN,2022-05-04 02:32:14,25.7667,73.3333,87.87,35,0,13.04
48,Tuktoyaktuk,CA,2022-05-04 02:32:15,69.4541,-133.0374,24.8,93,100,9.22
49,Codrington,AU,2022-05-04 02:32:15,-38.2667,141.9667,57.29,50,100,13.78
50,Porto Novo,BJ,2022-05-04 02:32:16,6.4965,2.6036,78.58,86,99,4.34
51,Barrow,US,2022-05-04 02:32:16,71.2906,-156.7887,21.22,86,100,13.8
52,Tamandare,BR,2022-05-04 02:32:16,-8.7597,-35.1047,77.47,87,34,8.39
53,Sena Madureira,BR,2022-05-04 02:32:17,-9.0656,-68.6569,73.76,98,100,0.58
54,Zyryanka,RU,2022-05-04 02:32:17,65.75,150.85,36.25,88,66,7.99
55,Isla Mujeres,MX,2022-05-04 02:32:18,21.2311,-86.731,80.65,83,0,11.99
56,Bolshaya Dzhalga,RU,2022-05-04 02:32:18,45.9695,42.6966,47.01,82,97,6.8
57,Ponta Do Sol,PT,2022-05-04 02:32:19,32.6667,-17.1,63.23,65,7,6.4
58,Port-Gentil,GA,2022-05-04 02:32:19,-0.7193,8.7815,81.75,81,100,10.51
59,Albany,US,2022-05-04 02:30:02,42.6001,-73.9662,54.55,76,100,4.0
60,Ginir,ET,2022-05-04 02:32:20,7.1333,40.7,58.17,83,83,2.93
